Код дилера;Сервисный код дилера;;;Код SAP площадки;;Контрагент;;Модель;Код модели;Год производства;Рабочий объем;Тип двигателя;Стоимость работ;;;;;;Стоимость запчастей;;;;;;Стоимость запчастей PL-2;;;Итого - ремонт;;;;;;Итого - PL-2 ремонт;;
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;i40;VF;2011 - 2017;1.7;Дизельный;3080,00;4180,00;3080,00;4180,00;3080,00;4180,00;6960,00;7290,00;6960,00;9400,00;6960,00;7290,00;7520,00;5568,00;5832,00;10040,00;11470,00;10040,00;13580,00;10040,00;11470,00;11700,00;8648,00;10012,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Creta;GSr;2016 -;1.6;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;6290,00;8580,00;6290,00;11180,00;6290,00;8580,00;8944,00;5032,00;6864,00;10030,00;13640,00;10030,00;17120,00;10030,00;13640,00;14884,00;8772,00;11924,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Creta;GSr;2016 -;2.0;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;6550,00;6880,00;6550,00;9480,00;6550,00;7140,00;7584,00;5240,00;5712,00;10290,00;11940,00;10290,00;15420,00;10290,00;12200,00;13524,00;8980,00;10772,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;ix35;Ele;2010 - 2015;2.0;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;7110,00;9720,00;7110,00;12160,00;7110,00;9720,00;9728,00;5688,00;7776,00;10850,00;14780,00;10850,00;18100,00;10850,00;14780,00;15668,00;9428,00;12836,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;ix35;Ele;2010 - 2015;2.0;Дизельный;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;8586,00;11196,00;8586,00;13636,00;8586,00;11196,00;10908,80;6868,80;8956,80;12326,00;16256,00;12326,00;19576,00;12326,00;16256,00;16848,80;10608,80;14016,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Tucson;TLe;2015 -;2.0;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;11000,00;7996,00;8326,00;7996,00;10926,00;7996,00;8326,00;8740,80;6396,80;6660,80;11736,00;13386,00;11736,00;16866,00;11736,00;19326,00;14680,80;10136,80;17660,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Tucson;TLe;2015 -;1.6T GDI;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;7292,00;7622,00;7292,00;9672,00;7292,00;7622,00;7737,60;5833,60;6097,60;11032,00;12682,00;11032,00;15612,00;11032,00;12682,00;13677,60;9573,60;11157,60
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Tucson;TLe;2015 -;2.0;Дизельный;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;12064,00;17094,00;12064,00;17094,00;12064,00;17094,00;13675,20;9651,20;13675,20;15804,00;22154,00;15804,00;22374,00;15804,00;22374,00;18955,20;13391,20;18955,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Tucson;TLe;2015 -;2.4;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;8436,00;8766,00;8436,00;10816,00;8436,00;8766,00;8652,80;6748,80;7012,80;12176,00;13826,00;12176,00;16756,00;12176,00;13826,00;14592,80;10488,80;12072,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;CM;2006 - 2012;2.4;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;8820,00;9150,00;8820,00;12560,00;8820,00;9150,00;10048,00;7056,00;7320,00;12560,00;14210,00;12560,00;18500,00;12560,00;14210,00;15988,00;10796,00;12380,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;CM;2006 - 2012;2.2;Дизельный;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;9454,00;12414,00;9664,00;12414,00;9454,00;12624,00;9931,20;7563,20;10099,20;13194,00;17474,00;13404,00;17694,00;13194,00;17904,00;15211,20;11303,20;15379,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;DM;2012 - 2018;2.4;Бензиновый;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;8366,00;11306,00;8366,00;13096,00;8366,00;11306,00;10476,80;6692,80;9044,80;12106,00;16366,00;12106,00;18376,00;12106,00;16586,00;15756,80;10432,80;14324,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;DM;2012 - 2018;2.2;Дизельный;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;10744,00;14254,00;10744,00;14254,00;10744,00;14254,00;11403,20;8595,20;11403,20;14484,00;19314,00;14484,00;19534,00;14484,00;19534,00;16683,20;12335,20;16683,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;TM;2019 -;3.5;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;10754,00;11414,00;10754,00;14044,00;10754,00;11414,00;11235,20;8603,20;9131,20;14494,00;16474,00;14494,00;19984,00;14494,00;16474,00;17175,20;12343,20;14191,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;TM;2019 -;2.2;Дизельный;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;11656,00;16716,00;11656,00;16716,00;11656,00;16716,00;13372,80;9324,80;13372,80;15396,00;21776,00;15396,00;21996,00;15396,00;21996,00;18652,80;13064,80;18652,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Santa Fe;TM;2019 -;2.4;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;9476,00;10136,00;9476,00;12596,00;9476,00;10136,00;10076,80;7580,80;8108,80;13216,00;15196,00;13216,00;18536,00;13216,00;15196,00;16016,80;11320,80;13168,80
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Grand Santa Fe;NC;2012 - 2018;3.3;Бензиновый;3740,00;3740,00;5060,00;3740,00;5280,00;3740,00;9254,00;9254,00;9914,00;9254,00;11704,00;9254,00;7403,20;9363,20;7403,20;12994,00;12994,00;14974,00;12994,00;16984,00;12994,00;11143,20;14643,20;11143,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Grand Santa Fe;NC;2012 - 2018;2.4 GDI;Бензиновый;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;9254,00;9914,00;9254,00;11704,00;9254,00;9914,00;9363,20;7403,20;7931,20;12994,00;14974,00;12994,00;16984,00;12994,00;15194,00;14643,20;11143,20;13211,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;Grand Santa Fe;NC;2012 - 2018;2.2;Дизельный;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;10744,00;14254,00;10744,00;14254,00;10744,00;14254,00;11403,20;8595,20;11403,20;14484,00;19314,00;14484,00;19534,00;14484,00;19534,00;16683,20;12335,20;16683,20
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;H1;TQ;2007 -;2.4;Бензиновый;3740,00;5060,00;3740,00;5940,00;3740,00;5060,00;7750,00;8410,00;7750,00;10310,00;7750,00;7830,00;8248,00;6200,00;6264,00;11490,00;13470,00;11490,00;16250,00;11490,00;12890,00;14188,00;9940,00;11324,00
RC369;01053;;;C40AF01053;;Техцентр Гранд Восток;;H1;TQ;2007 -;2.5;Дизельный;3740,00;5060,00;3740,00;5280,00;3740,00;5280,00;10990,00;14090,00;10990,00;14090,00;10990,00;14090,00;11272,00;8792,00;11272,00;14730,00;19150,00;14730,00;19370,00;14730,00;19370,00;16552,00;12532,00;16552,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Solaris;HCR;2017 -;1.4;Бензиновый;2450,00;3325,00;2450,00;4200,00;2450,00;3325,00;7086,00;7736,00;7086,00;17770,00;7086,00;7736,00;17770,00;7086,00;7736,00;9536,00;11061,00;9536,00;21970,00;9536,00;11061,00;21970,00;9536,00;11061,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Solaris;HCR;2017 -;1.6;Бензиновый;2450,00;3325,00;2450,00;4200,00;2450,00;3325,00;7134,00;9812,00;7134,00;12070,00;7134,00;9812,00;12070,00;7134,00;9812,00;9584,00;13137,00;9584,00;16270,00;9584,00;13137,00;16270,00;9584,00;13137,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Solaris;RBR;2011 - 2016;1.4;Бензиновый;2450,00;3325,00;2450,00;4200,00;2450,00;3325,00;7659,00;10441,00;7659,00;12151,00;7659,00;10441,00;12151,00;7659,00;10441,00;10109,00;13766,00;10109,00;16351,00;10109,00;13766,00;16351,00;10109,00;13766,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Solaris;RBR;2011 - 2016;1.6;Бензиновый;2450,00;3325,00;2450,00;4200,00;2450,00;3325,00;7659,00;10441,00;7659,00;12151,00;7659,00;10441,00;12151,00;7659,00;10441,00;10109,00;13766,00;10109,00;16351,00;10109,00;13766,00;16351,00;10109,00;13766,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;i30;Gde;2012 - 2017;1.4;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8537,00;11057,00;8537,00;12482,00;8537,00;11057,00;12482,00;8537,00;11057,00;11127,00;14572,00;11127,00;16922,00;11127,00;14572,00;16922,00;11127,00;14572,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;i30;Gde;2012 - 2017;1.6;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8537,00;11057,00;8537,00;12482,00;8537,00;11057,00;12482,00;8537,00;11057,00;11127,00;14572,00;11127,00;16922,00;11127,00;14572,00;16922,00;11127,00;14572,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;i30;PDe;2017 -;1.4;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8537,00;11057,00;8537,00;12482,00;8537,00;11057,00;12482,00;8537,00;11057,00;11127,00;14572,00;11127,00;16922,00;11127,00;14572,00;16922,00;11127,00;14572,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;i30;PDe;2017 -;1.6;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8537,00;11057,00;8537,00;12482,00;8537,00;11057,00;12482,00;8537,00;11057,00;11127,00;14572,00;11127,00;16922,00;11127,00;14572,00;16922,00;11127,00;14572,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;i30n;PDeN;2018 -;2.0;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8537,00;11057,00;8537,00;12482,00;8537,00;11057,00;12482,00;8537,00;11057,00;11127,00;14572,00;11127,00;16922,00;11127,00;14572,00;16922,00;11127,00;14572,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Elantra;MD;2011 - 2016;1.6;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8528,00;11048,00;8528,00;13533,00;8528,00;11048,00;13533,00;8528,00;11048,00;11118,00;14563,00;11118,00;17973,00;11118,00;14563,00;17973,00;11118,00;14563,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Elantra;MD;2011 - 2016;1.8;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;9428,00;11948,00;9428,00;14433,00;9428,00;11948,00;14433,00;9428,00;11948,00;12018,00;15463,00;12018,00;18873,00;12018,00;15463,00;18873,00;12018,00;15463,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Elantra;AD;2016 -;1.6;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8080,00;10599,00;8080,00;15607,00;8080,00;10599,00;15607,00;8080,00;10599,00;10670,00;14114,00;10670,00;20047,00;10670,00;14114,00;20047,00;10670,00;14114,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Elantra;AD;2016 -;2.0;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;8980,00;9579,00;8980,00;11548,00;8980,00;9579,00;11548,00;8980,00;9579,00;11570,00;13094,00;11570,00;15988,00;11570,00;13094,00;15988,00;11570,00;13094,00
RC397;01073;;;C40AF01073;;АЗИЯ-КАР 62;;Veloster;FS;2011 - 2016;1.6;Бензиновый;2590,00;3515,00;2590,00;4440,00;2590,00;3515,00;7848,00;10368,00;7848,00;11771,00;7848,00;10368,00;11771,00;7848,00;10368,00;10438,00;13883,00;10438,00;16211,00;10438,00;13883,00;16211,00;10438,00;13883,00
